Size,Epsilon,MinPts,Radius,Leaders,Leaders Count,Classification RoughDBSCAN,Classification DBSCAN,Rand-Index RoughDBSCAN,Rand-Index DBSCAN,Time RoughDBSCAN,Time DBSCAN
6000,40,24,30,"[[ 47 100  27 ...  90  40  98]
 [  0  89  27 ...   2 100   6]
 [  0  57  31 ...  25  16   0]
 ...
 [ 16 100   0 ...  90  98 100]
 [ 25 100  12 ...  42  77   0]
 [  0  91  25 ...  29  72  38]]",2023,[12.  1.  2. ...  1. -1. 12.],-,0.8904015113630049,-,73.52380084991455,-
6000,40,24,25,"[[ 47 100  27 ...  90  40  98]
 [  0  89  27 ...   2 100   6]
 [  0  57  31 ...  25  16   0]
 ...
 [  0  77  18 ...   0  32   4]
 [  0  91  25 ...  29  72  38]
 [ 86  98  19 ...  84  51 100]]",2881,[10.  1.  2. ...  1.  8. -1.],-,0.8973264432961049,-,151.75914072990417,-
6000,40,24,20,"[[ 47 100  27 ...  90  40  98]
 [  0  89  27 ...   2 100   6]
 [  0  57  31 ...  25  16   0]
 ...
 [  4  66  27 ...   3 100   0]
 [ 97 100  61 ...  44   0  31]
 [ 86  98  19 ...  84  51 100]]",4042,[ 9.  1.  2. ...  1.  3. -1.],-,0.8872327054509085,-,1201.9149389266968,-
